dziesiątego	10
10-go	10
10 - go	10
10 go	10
10.	10
jedenastego	11
11-go	11
11 - go	11
11 go	11
11.	11
dwunastego	12
12-go	12
12 - go	12
12 go	12
12.	12
trzynastego	13
13-go	13
13 - go	13
13 go	13
13.	13
czternastego	14
14-go	14
14 - go	14
14 go	14
14.	14
piętnastego	15
15-go	15
15 - go	15
15 go	15
15.	15
szesnastego	16
16-go	16
16 - go	16
16 go	16
16.	16
siedemnastego	17
17-go	17
17 - go	17
17 go	17
17.	17
osiemnastego	18
18-go	18
18 - go	18
18 go	18
18.	18
dziewiętnastego	19
19-go	19
19 - go	19
19 go	19
19.	19
